"nome palestra","discipline","indirizzo","telefono","orari di apertura","pagina web","lat","long"
"A.S.D. Arashi 21100","Fitness","Via Donatello, 1, 21100 Varese VA, Italia","+39 392 811 1970","Lun 18-21 | Mar 19-20 | Mer 18-21 | Gio chiuso | Ven 16-17 | Sab 12:30-16 | Dom chiuso","http://www.arashi21100.it/","45.807833000000002","8.8355429999999995"
"A.S.D. Black Tiger","Fitness","Via A. De Gasperi, 28, 21012 Cassano Magnago VA, Italia","+39 393 769 7303","Lun 17-22 | Mar 17-22 | Mer 17-22 | Gio 17-22 | Ven 17-22 | Sab chiuso | Dom chiuso","https://www.instagram.com/blacktigerasdigsh=MW4yZ2Z3ZHV4cnJtcw==","45.676551000000003","8.8350179999999998"
"A.S.D. BUSTO 81 CALCIO","Fitness","Via Valle Olona, 12, 21052 Busto Arsizio VA, Italia","+39 0331 181 1028","Orari da verificare","https://www.busto81calcio.it/","45.616076999999997","8.8706800000000001"
"A.S.D. Eagles","Fitness","Via Armando Diaz, 23, 21040 Caronno Varesino VA, Italia","+39 345 342 9040","Lun 16:30-23 | Mar 16:30-23 | Mer 16:30-23 | Gio 16:30-23 | Ven 16:30-23 | Sab 14:30-19:30 | Dom 14:30-18:30","","45.741608999999997","8.8268559999999994"
"A.S.D. Fc Tradate","Fitness","Via Europa, 1, 21049 Tradate VA, Italia","+39 0331 811049","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","https://asdfctradatecalcio.it.gg/","45.704895999999998","8.9015799999999992"
"A.S.D. FINK NIPPON KEMPO","Fitness","Via Donatello, 1, 21100 Varese VA, Italia","","Lun 09:30-11:30 | Mar 09:30-11:30 | Mer 09:30-11:30 | Gio 09:30-11:30 | Ven 09:30-11:30 | Sab chiuso | Dom chiuso","https://www.asdfink.it/","45.807833000000002","8.8355429999999995"
"A.S.D. Ju-Jitsu Club Varese","Fitness","Via Pietro Micca, 20, 21100 Varese VA, Italia","+39 333 523 0277","Lun chiuso | Mar 18:15-21 | Mer chiuso | Gio chiuso | Ven 18:15-21 | Sab chiuso | Dom chiuso","http://www.jujitsuclubvarese.it/","45.813814000000001","8.8113960000000002"
"A.S.D. Mantuano Karate Team","Karate","Via Niccolo' Machiavelli, 21049 Tradate VA, Italia","+39 392 376 2539","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 15-17 | Dom chiuso","https://m.facebook.com/karatemantuano","45.709046999999998","8.9133530000000007"
"A.S.D. M-Cube Smart Fitness","Fitness","Via Praderio, 2, 21013 Gallarate VA, Italia","+39 347 650 6990","Lun 13-14, 19-20 | Mar 09-11:30, 20-21 | Mer 13-14, 19-21:30 | Gio 09-11:30, 20-21 | Ven 13-14, 19-21:30 | Sab 13-14 | Dom 09-10","https://mcubesmartfitness.webnode.it/","45.660885999999998","8.8060779999999994"
"A.S.D. Nuoto Club Gallarate","Nuoto","Via M. Buonarroti, 14, 21013 Gallarate VA, Italia","+39 0331 774033","Orari da verificare","","45.652422999999999","8.7960469999999997"
"A.S.D. Sawayama","Fitness","Via dei Pradacci, 21040 Tradate VA, Italia","","Lun chiuso | Mar 20:30-22 | Mer chiuso | Gio chiuso | Ven 20:30-22 | Sab chiuso | Dom chiuso","","45.705035000000002","8.9031870000000009"
"A.S.D. scuola nuoto bustese","Nuoto","Viale Biagio Gabardi, 21052 Busto Arsizio VA, Italia","+39 0331 329946","Lun 09-21 | Mar 07-21 | Mer 09-21 | Gio 07-21 | Ven 09-21 | Sab 09-18 | Dom chiuso","http://www.scuolanuotobustese.it/","45.598970999999999","8.8720669999999995"
"A.S.D. TC LUINO","Fitness","Via Lugano, 41, 21016 Luino VA, Italia","+39 349 760 2907","Lun 09-22 | Mar 09-22 | Mer 09-22 | Gio 09-22 | Ven 09-22 | Sab 09-20 | Dom 09-20","http://www.tennispadellagomaggiore.it/","46.005094999999997","8.7538579999999993"
"A.S.D. Valceresio A. Audax","Fitness","Via B. Giacomini, 14, 21051 Arcisate VA, Italia","+39 0332 473319","Orari da verificare","https://www.asdvalceresio.it/","45.859954999999999","8.869624"
"A.S.D. Yogamore","Yoga","Viale Sicilia, 6, 21052 Busto Arsizio VA, Italia","+39 340 729 4112","Orari da verificare","https://yogamore.it/","45.608007999999998","8.8324029999999993"
"éSport Caronno Pertusella","Fitness","Via Bergamo, 605, 21042 Caronno Pertusella VA, Italia","+39 02 4936 0635","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 09-18 | Dom 09-14","https://www.esportpalestre.it/","45.591942000000003","9.0435409999999994"
"AA Special Training","Fitness","Via Giovanni Maraini 15/a, 6900 Pregassona, Svizzera","+41 76 384 05 89","Lun 07-21 | Mar 07-21 | Mer 07-21 | Gio 07-21 | Ven 07-21 | Sab 07-17 | Dom chiuso","http://aaspecialtraining.ch/","46.026896999999998","8.9678740000000001"
"AA Special Training","Fitness","Via Pasquale Lucchini 7, 6900 Lugano, Svizzera","+41 76 384 05 89","Lun 07-21 | Mar 07-21 | Mer 07-21 | Gio 07-21 | Ven 07-21 | Sab 07-17 | Dom chiuso","https://aaspecialtraining.ch/","46.006346","8.957152"
"Accademia della scherma ""A. Felli""","Scherma | Fitness","Via Luigi Galvani, 2, 21052 Busto Arsizio VA, Italia","","Orari da verificare","https://www.propatriascherma.it/","45.616142000000004","8.8462060000000005"
"Acinque Ice Arena - Palaghiaccio di Varese","Fitness","Via Francesco Albani, 33, 21100 Varese VA, Italia","+39 0332 157 5576","Lun 06-21:30 | Mar 06-21:30 | Mer 06-21:30 | Gio 06-21:30 | Ven 06-00 | Sab 08-18:30, 21:10-00 | Dom 08-13, 15:10-18:50","https://www.acinqueicearena.com/","45.832729","8.8256639999999997"
"A-CLUB","Fitness","Via centro Sportivo 5, 6942 Savosa, Svizzera","+41 91 966 13 13","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 07-19 | Dom chiuso","http://www.a-club.ch/","46.017017000000003","8.9375160000000005"
"Acorpolibero","Pilates","Via Varrone 5A, 6500 Bellinzona, Svizzera","+41 79 745 16 39","Lun chiuso | Mar 09-20 | Mer 09-20 | Gio 09-20 | Ven 09-12 | Sab 00:00-24:00 | Dom chiuso","","46.200296999999999","9.0294299999999996"
"Acquablue","Fitness","Via Carlo Rossini, 60, 21049 Tradate VA, Italia","+39 393 178 5811","Lun 08:30-12:30 | Mar 08:30-12:30, 15-18:30 | Mer 08:30-12:30, 15-18:30 | Gio 08:30-12:30, 15-18:30 | Ven 08:30-12:30, 15-18:30 | Sab chiuso | Dom chiuso","http://acquablue.it/","45.720801999999999","8.8900810000000003"
"ACQUAESSENIA SOCIETA' SPORTIVA DILETTANTISTICA","Nuoto","Via Magenta, 3, 21013 Gallarate VA, Italia","+39 0331 774471","Lun 08-20 | Mar 08-20 | Mer 08-20 | Gio 08-20 | Ven 08-20 | Sab 08-16:30 | Dom 08:30-12","http://www.acquaebenessere.it/","45.655985000000001","8.7946950000000008"
"Acquaplan SA - Costruzione piscine","Fitness","Via Probello 1, 6963 Pregassona, Svizzera","+41 91 971 31 31","Lun 08-12, 13:30-17 | Mar 08-12, 13:30-17 | Mer 08-12, 13:30-17 | Gio 08-12, 13:30-17 | Ven 08-12, 13:30-17 | Sab chiuso | Dom chiuso","http://www.acquaplan.ch/","46.019131999999999","8.9758680000000002"
"Acquasport Varese ASD","Fitness","Via Fidanza, 10, 21025 Comerio VA, Italia","+39 375 555 2666","Lun 10-19:30 | Mar 10-19:30 | Mer 10-19:30 | Gio 10-19:30 | Ven 10-19:30 | Sab 10-19:30 | Dom 10-19:30","http://blogosfera.varesenews.it/vacanzeavarese/index-page_id=11.html","45.840682999999999","8.7383520000000008"
"Action Fit Gallarate","Fitness","Viale Milano, 155, 21013 Gallarate VA, Italia","+39 351 319 1509","Lun 06-00 | Mar 06-00 | Mer 06-00 | Gio 06-00 | Ven 06-00 | Sab 06-00 | Dom 06-00","https://www.actionfit.it/","45.645933999999997","8.8179940000000006"
"Activ Fitness Bellinzona","Fitness","Viale Stazione 18, 6500 Bellinzona, Svizzera","+41 91 821 78 70","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 09-18 | Dom chiuso","https://www.activfitness.ch/studios/activ-fitness-bellinzona/","46.193615999999999","9.0262689999999992"
"Activ Fitness Giubiasco","Fitness","Via Campagna 1, 6512 Giubiasco, Svizzera","+41 91 821 78 80","Lun 06:30-21:30 | Mar 06:30-21:30 | Mer 06:30-21:30 | Gio 06:30-21:30 | Ven 06:30-21:30 | Sab 08-17 | Dom 08-17","https://www.activfitness.ch/studios/activ-fitness-giubiasco/","46.167707999999998","9.0018600000000006"
"Activ Fitness Losone","Fitness","Via dei Pioppi 2a, 6616 Losone, Svizzera","+41 91 821 77 88","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-22 | Sab 09-19 | Dom 09-19","https://www.activfitness.ch/studios/activ-fitness-losone/","46.166432999999998","8.7732039999999998"
"Activ Fitness Lugano","Fitness","Via Pretorio 15, 6900 Lugano, Svizzera","+41 91 821 70 90","Lun 06:30-21:30 | Mar 06:30-21:30 | Mer 06:30-21:30 | Gio 06:30-21:30 | Ven 06:30-21:30 | Sab 09-18 | Dom 09-18","https://www.activfitness.ch/studios/activ-fitness-lugano/","46.007041999999998","8.9521149999999992"
"Activ Fitness Mendrisio","Fitness","Via Luigi Lavizzari 2, 6850 Mendrisio, Svizzera","+41 91 821 75 50","Lun 06:30-21:30 | Mar 06:30-21:30 | Mer 06:30-21:30 | Gio 06:30-21:30 | Ven 06:30-21:30 | Sab 09-18 | Dom 09-18","https://www.activfitness.ch/studios/activ-fitness-mendrisio/","45.870178000000003","8.9859799999999996"
"Activ Fitness Riazzino","Fitness","Via al Pizzante 12, 6595 Lavertezzo, Svizzera","+41 91 821 78 88","Lun 06:30-21:30 | Mar 06:30-21:30 | Mer 06:30-21:30 | Gio 06:30-21:30 | Ven 06:30-21:30 | Sab 08:30-17 | Dom 08:30-17","https://www.activfitness.ch/studios/activ-fitness-riazzino/","46.173678000000002","8.8965359999999993"
"Activ Fitness Serfontana","Fitness","Viale Serfontana 20, 6834 Morbio Inferiore, Svizzera","+41 91 821 74 80","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 09-18:30 | Dom chiuso","https://www.activfitness.ch/studios/activ-fitness-serfontana/","45.845232000000003","9.015784"
"ACTIV FITNESS Ticino SA (Amministrazione)","Fitness","Via Serrai 1, 6592 Sant'Antonino, Svizzera","+41 91 850 86 00","Lun 09-11:30 | Mar 09-11:30 | Mer chiuso | Gio 09-11:30 | Ven 09-11:30 | Sab chiuso | Dom chiuso","https://www.activfitness.ch/it/","46.154977000000002","8.9602570000000004"
"Activ Fitness Vezia","Fitness","Via S. Gottardo 5, 6943 Vezia, Svizzera","+41 91 821 73 10","Lun 06:30-21:30 | Mar 06:30-21:30 | Mer 06:30-21:30 | Gio 06:30-21:30 | Ven 06:30-21:30 | Sab 08-17 | Dom 08-17","https://www.activfitness.ch/studios/activ-fitness-vezia/","46.021403999999997","8.9366059999999994"
"Ad Oriente,Yoga, Aikido & Benessere","Aikido | Yoga | Fitness","Via Campo dei Fiori, 1, 21010 Cardano al Campo VA, Italia","+39 388 563 8692","Lun 17-21:30 | Mar 17-21:30 | Mer 17-21 | Gio 17-21:30 | Ven chiuso | Sab 10-12 | Dom chiuso","http://www.palestracardano.it/","45.637824999999999","8.7798689999999997"
"Adhd Life Coach Italia","Fitness","Via Giuseppe Piermarini, 3, 21100 Varese VA, Italia","+39 375 777 5544","Lun 08-20 | Mar 08-20 | Mer 08-20 | Gio 08-20 | Ven 08-20 | Sab chiuso | Dom chiuso","https://www.adhdlifecoachitalia.it/","45.834263999999997","8.8253109999999992"
"Öffentliche Fitnessgeräte","Fitness","Via Gioacchino Respini 8, 6600 Locarno, Svizzera","","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","","46.160184999999998","8.8038380000000007"
"Agno Stand Up Paddle","Fitness","Parco comunale AL LAGO di Agno, Via Acquacalda, 6982 Agno, Svizzera","+41 79 388 62 69","Lun 10-20 | Mar 10-20 | Mer 10-20 | Gio 10-20 | Ven 10-20 | Sab 10-20 | Dom 10-20","http://www.luganosup.com/","45.992483","8.9012619999999991"
"Aikido Bellinzona","Aikido","Via Saleggi 33, 6500 Bellinzona, Svizzera","+41 79 621 72 29","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab chiuso | Dom chiuso","https://aikidobellinzona.ch/","46.181004999999999","9.014087"
"Aikido Buikukai Varese","Aikido","c/o Società Varesina di Ginnastica e Scherma a.s.d, Via Donatello, 1, 21100 Varese VA, Italia","+39 0332 831470","Lun chiuso | Mar 20:30-22 | Mer chiuso | Gio chiuso | Ven 20:30-22 | Sab chiuso | Dom chiuso","https://www.aikidovarese.it/","45.807805999999999","8.835426"
"Al Pradello","Fitness","Via Pradello 8, 6932 Breganzona, Svizzera","+41 91 966 23 53","Lun 10:30-13:30 | Mar 10:30-19:30 | Mer 10:30-19:30 | Gio 10:30-19:30 | Ven 10:30-19:30 | Sab 09-19:30 | Dom 10:30-13:30","https://www.tcpradello.ch/","46.010108000000002","8.9259570000000004"
"Alessandro Avetti Pilates","Pilates","Via Matteotti, 84, 21020 Casciago VA, Italia","+39 0332 156 3853","Lun 08:30-20:30 | Mar 08:30-20:30 | Mer 08:30-20:30 | Gio 08:30-20:30 | Ven 08:30-20:30 | Sab 09-12:30 | Dom chiuso","http://www.alessandroavettipilates.com/","45.836106999999998","8.7843079999999993"
"Alessandro Gattico Personal Trainer","Fitness","PTROOM, via monsignor proserpio, Via Francesco Crispi, 13, 21100 Varese VA, Italia","+39 347 199 3460","Lun 06-21 | Mar 06-21 | Mer 06-21 | Gio 06-21 | Ven 06-21 | Sab 07-13:30 | Dom chiuso","https://www.alessandrogatticopt.com/","45.827047","8.8089849999999998"
"Alessio Merelli - Personal Fitness Trainer - Coach","Fitness","Via Cesare Correnti, 2, 21100 Varese VA, Italia","","Orari da verificare","","45.797759999999997","8.8428810000000002"
"Alice Panciera","Fitness","ghiringhelli 18, 6500 Bellinzona, Svizzera","","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","https://evergreenlife.io/alicepanciera","46.193851000000002","9.0237700000000007"
"AliZéStudio di Vera Viligiardi - Fitness with Vera","Fitness","Via Giuseppe Buffi 6, 6850 Mendrisio, Svizzera","+41 79 450 17 68","Lun 18-21 | Mar 18-21 | Mer 18-21 | Gio chiuso | Ven 18-21 | Sab 14-21 | Dom chiuso","https://www.fitnesswithvera.ch/","45.865878000000002","8.9841250000000006"
"Allegra Moda Curvy","Fitness","Corso Paolo Bernacchi, 118, 21049 Tradate VA, Italia","+39 0331 028698","Lun chiuso | Mar 10-12:30, 15:30-19 | Mer 10-12:30, 15:30-19 | Gio 10-12:30, 15:30-19 | Ven 10-12:30, 15:30-19 | Sab 10-12:30, 15:30-19 | Dom chiuso","http://www.allegramodacurvy.it/","45.711886","8.9066580000000002"
"Alma Botánica- Holistic Studio Massage","Fitness","Str. della Brima 6, 6612 Ascona, Svizzera","+41 78 318 90 48","Orari da verificare","https://www.almabotanica.ch/","46.158470000000001","8.7768370000000004"
"Alpha Boulder","Fitness","Viale Stazione 19, 6512 Giubiasco, Svizzera","+41 79 672 82 94","Lun chiuso | Mar chiuso | Mer chiuso | Gio chiuso | Ven chiuso | Sab 14-19 | Dom chiuso","https://www.alphaboulder.ch/","46.172781000000001","9.0031649999999992"
"Alya Resort","Fitness","Via Peloritana, 28, 20024 Garbagnate Milanese MI, Italia","+39 02 9902 7051","Lun 09-21:30 | Mar 09-21:30 | Mer 09-21:30 | Gio 09-21:30 | Ven 09-21:30 | Sab 09-21:30 | Dom 09-13","https://www.alyaresort.it/","45.573149000000001","9.0690690000000007"
"AMAFIT Pilates","Pilates","Via XI Febbraio, 2A, 21052 Busto Arsizio VA, Italia","+39 379 104 0300","Lun 09-21 | Mar 09-20 | Mer 09-20 | Gio 09-21 | Ven 09-20 | Sab chiuso | Dom chiuso","http://amafitpilates.it/","45.598402999999998","8.8457450000000009"
"Amatori Tradate Rugby Club","Fitness","Via Alfio Fontana, snc, 21049 Tradate VA, Italia","","Lun 18-22 | Mar 18-22 | Mer 18-22 | Gio 18-22 | Ven 18-22 | Sab 14-22 | Dom 08-22","http://www.tradaterugby.it/","45.703989999999997","8.902571"
"Ambiluna_yoga","Yoga","Via Pontico Virunio, 6850 Mendrisio, Svizzera","+41 76 382 55 14","Orari da verificare","","45.869523999999998","8.9869489999999992"
"anantayoga","Yoga","Via Pico 28, 6900 Lugano, Svizzera","+41 79 935 58 83","Lun chiuso | Mar 19-20:30 | Mer 09:30-11, 18:15-19:45 | Gio 14:15-15:45, 17:15-18:45 | Ven chiuso | Sab 10-12 | Dom chiuso","http://www.anantayoga.yoga/","46.008513999999998","8.9693620000000003"
"ANDREA FONTANELLA","Fitness","Via della Valle, 10, 21020 Casciago VA, Italia","+39 346 131 8140","Orari da verificare","http://andreafontanella.com/","45.839312999999997","8.7804369999999992"
"Andy Personal Trainer & Coach Nutrizionale","Fitness","Via Giacomo e Filippo Ciani 14, 6900 Lugano, Svizzera","+41 79 270 13 64","Lun 06-22 | Mar 06-22 | Mer 06-22 | Gio 06-22 | Ven 06-20 | Sab 08-13 | Dom chiuso","https://www.andypersonaltrainer.net/","46.014657999999997","8.9607759999999992"
"ANGEL E DEVIL ACADEMY A.S.D. DANZA E FITNESS","Fitness","V. Antonio Pacinotti, 50, 21100 Varese VA, Italia","+39 339 490 7735","Lun 16:30-23 | Mar 16:30-23 | Mer 16:30-23 | Gio 16:30-23 | Ven 16:30-23 | Sab chiuso | Dom chiuso","","45.835782000000002","8.8333340000000007"
"Angelo Training Lab - Personal Studio","Fitness","Via Belmonte, 169, 21100 Varese VA, Italia","+39 327 741 2681","Lun 07-20 | Mar 07-20 | Mer 07-20 | Gio 07-20 | Ven 07-20 | Sab chiuso | Dom chiuso","","45.817618000000003","8.8597760000000001"
"Antigravity Saronno","Yoga | Fitness","Via Giovanni Randaccio, 7, 21047 Saronno VA, Italia","+39 347 901 1903","Lun 18:30-23 | Mar 18:30-23 | Mer 18:30-23 | Gio 18:30-23 | Ven 18:30-23 | Sab chiuso | Dom chiuso","https://www.officinedelsole.net/corsi/antigravity-fit-yoga/","45.631037999999997","9.0322610000000001"
"Anytime Fitness Saronno","Fitness","Via Valletta, 2, 21047 Saronno VA, Italia","+39 351 308 8497","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","https://www.anytimefitness.it/gyms/it-0053/saronno-va-21047/","45.631064000000002","9.0274990000000006"
"Apex Factory Shop","Fitness","Corso Paolo Bernacchi, 70, 21049 Tradate VA, Italia","+39 0331 830936","Lun chiuso | Mar 10-12:30, 15:30-19 | Mer 10-12:30, 15:30-19 | Gio 10-12:30, 15:30-19 | Ven 10-12:30, 15:30-19 | Sab 10-12:30, 15:30-19 | Dom chiuso","https://www.apex-srl.com/","45.712381999999998","8.9060769999999998"
"Aquamore Busto Arsizio Manara","Nuoto","Via Luciano Manara, 13, 21052 Busto Arsizio VA, Italia","+39 338 362 2254","Orari da verificare","https://www.aquamore.it/portfolio/manara-busto-arsizio/","45.608643000000001","8.8553200000000007"
"Aquamore Manara Busto Arsizio","Nuoto","Via Luciano Manara, 13, 21052 Busto Arsizio VA, Italia","+39 338 362 2254","Orari da verificare","https://www.aquamore.it/busto-arsizio/","45.608348999999997","8.8553449999999998"
"Aquatech Srl","Fitness","Via Mottarone, 14 - 16, 21020 Bodio Lomnago VA, Italia","+39 0332 948724","Lun 08:30-12:30, 14-18 | Mar 08:30-12:30, 14-18 | Mer 08:30-12:30, 14-18 | Gio 08:30-12:30, 14-18 | Ven 08:30-12:30, 14-18 | Sab chiuso | Dom chiuso","https://www.aquatechgroup.eu/","45.793351999999999","8.7441150000000007"
"AR Fitness","Fitness","Via Stradonino 1, 6595 Lavertezzo, Svizzera","+41 91 840 11 11","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","","46.174261999999999","8.8870769999999997"
"AR Studio Personal","Fitness","C/O Fisioterapia Artemisia - Stabile Bettydo, Via Cantonale 19, 6900 Lugano, Svizzera","+41 76 297 21 79","Lun 06:30-20 | Mar 06:30-19 | Mer 06:30-19 | Gio 06:30-19 | Ven 06:30-11 | Sab chiuso | Dom chiuso","https://www.arstudiopersonal.ch/","46.008622000000003","8.9501639999999991"
"Area 51 Wellness Club","Fitness","Via G. B. Busnelli, N 44, 21047 Saronno VA, Italia","+39 02 9628 0378","Lun 06:30-22 | Mar 06:30-22 | Mer 06:30-22 | Gio 06:30-22 | Ven 06:30-22 | Sab 09-19 | Dom 09-19","http://www.area51wellnessclub.com/","45.639563000000003","9.0515539999999994"
"Area fitness all'aperto-Piscine Mendrisio","Fitness","Via Laveggio 12, 6850 Mendrisio, Svizzera","","Orari da verificare","","45.881039000000001","8.9802070000000001"
"Aries Academy Gallarate PoleDance & Pilates Reformer","Pilates | Fitness","Corso Sempione, 41, 21013 Gallarate VA, Italia","+39 327 014 2577","Orari da verificare","https://ariesacrofitnessacademy.com/","45.663339000000001","8.7835540000000005"
"Arkaya scuola Yoga, Accardi Marzia","Yoga","Via ai Boschetti 18A, 6928 Manno, Svizzera","+41 76 422 40 79","Lun 07-21 | Mar 07-21 | Mer 07-21 | Gio 07-21 | Ven 07-21 | Sab chiuso | Dom chiuso","http://www.yoga-arkaya.ch/","46.038660999999998","8.9176739999999999"
"ArmGym Palestre","Fitness","dietro Esselunga, Via S. Giorgio, 21057 Olgiate Olona VA, Italia","+39 0331 320818","Lun 06-22:30 | Mar 06-22:30 | Mer 06-22:30 | Gio 06-22:30 | Ven 06-22:30 | Sab 09-19 | Dom 09-14","https://www.armgympalestre.com/","45.630153999999997","8.8597370000000009"
"Arrampicata Sportiva Varese","Fitness","Via Donatello, 1, 21100 Varese VA, Italia","+39 375 593 9237","Lun 18-22:30 | Mar 18-22:30 | Mer 18-22:30 | Gio 18-22:30 | Ven 18-22:30 | Sab chiuso | Dom chiuso","https://www.arrampicatavarese.com/","45.807833000000002","8.8355429999999995"
"Arx Padel ASD","Fitness","Via Curtatone, 20, 21013 Gallarate VA, Italia","+39 375 562 3020","Lun 09-23:30 | Mar 09-23:30 | Mer 09-23:30 | Gio 09-23:30 | Ven 09-23:30 | Sab 09-21:30 | Dom 09-21:30","https://www.arxpadel.it/","45.674647999999998","8.7945039999999999"
"AS Riarena","Fitness","Via Riarena, 6516 Locarno, Svizzera","","Orari da verificare","http://www.asriarena.ch/","46.169113000000003","8.9117960000000007"
"Ascofit Fitness Losone","Fitness","Via Locarno 25, 6616 Losone, Svizzera","+41 91 791 67 50","Lun 06-00 | Mar 06-00 | Mer 06-00 | Gio 06-00 | Ven 06-00 | Sab 07-23 | Dom 07-23","http://www.ascofit.ch/","46.165371","8.7619330000000009"
"Ascona-Locarno Run","Fitness","Piazza Grande, 6600 Locarno, Svizzera","","Orari da verificare","https://www.ascona-locarno-run.ch/","46.170065999999998","8.7961089999999995"
"ASD Atletica Tigers Tradate","Fitness","Via Caravaggio, 21049 Tradate VA, Italia","+39 347 689 5826","Lun 18-20 | Mar 18-20 | Mer 18-20 | Gio 18-20 | Ven 18-20 | Sab chiuso | Dom chiuso","https://www.instagram.com/asdatleticatigerstradateigsh=M2lobjhhcnQ2eXdn","45.705680999999998","8.9014760000000006"
"ASD BLACK EAGLES TRADATE - Softair / Airsoft","Fitness","Via Carlo Porta, 21, 21050 Cairate VA, Italia","+39 391 496 5980","Lun 00:00-24:00 | Mar 00:00-24:00 | Mer 00:00-24:00 | Gio 00:00-24:00 | Ven 00:00-24:00 | Sab 00:00-24:00 | Dom 00:00-24:00","https://instabio.cc/blackeagles","45.693921000000003","8.8459129999999995"
"ASD BODY EXTREME LUINO La Palestra dal 1992","Fitness","Via Rossini, 13/A, 21016 Luino VA, Italia","","Lun 09-21 | Mar 09-21 | Mer 10-20 | Gio 09-21 | Ven 09-21 | Sab 10-12:30 | Dom chiuso","https://sites.google.com/view/palestrabodyextremeluino/home-page","45.998539000000001","8.7376400000000007"
